channel_type,country,date,e_m_earnings,e_y_earnings,grade,sub_change,sub_last30,subs,uploads,video_view,view_change,view_last30,youtuber
Sports,US,"Oct 24th, 2016",$2.2K - $34.8K,$26.1K - $417.5K,B,,102811,103700,15,35972648,102,8697600,Sport Legends
Sports,DE,"Jan 13th, 2006",$2.1K - $32.9K,$24.7K - $394.6K,B,4,9285,364550,6216,262618071,1,8220240,SPORT1
Sports,GB,"Sep 24th, 2016",$2.2K - $35.2K,$26.4K - $423K,B,-9,22590,101495,151,44984309,-3,8811540,MIXUPTV
Sports,MX,"Jul 19th, 2013",$1.9K - $31.1K,$23.3K - $372.8K,B,-23,23003,339502,8648,111825411,-24,7766430,FOX Sports MX
Sports,US,"Feb 7th, 2012",$1.9K - $30.9K,$23.2K - $371.1K,B,62,39212,635927,5298,155822399,88,7730880,NBC Sports
Sports,DZ,"Jul 20th, 2011",$2.6K - $42K,$31.5K - $503.6K,B,249,27283,511868,225,26087254,169,10490910,RedsTech
Sports,BR,"Aug 23rd, 2010",$1.9K - $31K,$23.2K - $371.5K,B,-46,94277,1168051,368,74243702,-18,7740300,Neymar Jr
Sports,,"Dec 1st, 2016",$2K - $31.9K,$23.9K - $382.3K,B,-31,37210,516109,140,72235314,-16,7964610,Goal Fut
Sports,MY,"Apr 6th, 2006",$904 - $14.5K,$10.8K - $173.5K,B,12,21106,820923,7510,269517265,-62,3615210,BadmintonWorld.tv
Sports,KR,"Oct 27th, 2007",$2.3K - $37.3K,$28K - $447.6K,B,-92,162,542123,90291,850771746,-3,9325680,SPOTV
Sports,TR,"Nov 23rd, 2013",$2.1K - $33.5K,$25.1K - $402.1K,B,-3,18978,325892,1243,79265167,18,8376060,beIN SPORTS Türkiye
Sports,,"Apr 14th, 2016",$2.1K - $34.1K,$25.6K - $409.1K,B,34,28886,380863,514,74660887,56,8522790,Футбол с GOAL24
Sports,US,"Jan 11th, 2014",$2.2K - $36K,$27K - $431.6K,B,,0,0,412,228664852,-39,8991030,Snooker Planet
Sports,US,"Mar 23rd, 2014",$1.3K - $21.4K,$16K - $256.3K,B,,0,6491,814,8440990,6,5339520,KH P
Sports,US,"Jul 3rd, 2006",$370 - $5.9K,$4.4K - $71K,B,125,2974,84929,311,33183012,118,1478820,MaxaMillion711
Sports,US,"Apr 10th, 2017",$3.1K - $50.2K,$37.7K - $602.9K,B,49,29839,132543,352,40582909,34,12561420,HARD BODY
Sports,US,"Sep 27th, 2013",$2.4K - $38.1K,$28.6K - $457K,B,18,38296,578475,156,156858005,20,9521190,Thunder Freerunning
Sports,US,"Mar 2nd, 2006",$1.4K - $21.9K,$16.4K - $262.9K,B,33,14273,216703,5798,282144503,-38,0,New York Post
Sports,GB,"Oct 29th, 2015",$1.2K - $19.6K,$14.7K - $235.6K,B,-1,12832,682526,224,48945487,-106,4908150,Fazeli
Sports,IN,"Jul 19th, 2016",$2.2K - $35.5K,$26.6K - $426.3K,B,118,54333,596729,1302,90860129,164,8880270,Headlines Sports
Sports,BR,"Sep 15th, 2015",$0 - $0,$0 - $0,B,-27,31908,845020,58,195736719,-121,-2615040,M4K
Sports,TH,"Feb 8th, 2011",$2K - $32.2K,$24.2K - $386.7K,B,-4,28527,702390,6706,265075393,35,8056620,MTUTD.TV OFFICIAL
Sports,FR,"Mar 2nd, 2006",$1.6K - $26.4K,$19.8K - $316.7K,B,2,38525,213724,2333,51522700,2,6598590,Dakar
Sports,GB,"Oct 29th, 2010",$1.9K - $30.6K,$23K - $367.4K,B,-36,12695,411826,21008,518971018,-54,7653900,iFL TV
Sports,US,"Jun 5th, 2018",$2.4K - $37.9K,$28.4K - $455.2K,B,-73,29542,140028,1493,81996023,-86,9483240,ESPN FC
Sports,,"Feb 20th, 2017",$2.5K - $39.4K,$29.5K - $472.3K,B,27,18284,233834,380,152769433,43,9839070,なすび屋
Sports,GB,"Jul 27th, 2010",$2.6K - $41.9K,$31.4K - $503.2K,B,59,22266,823218,1115,306804367,66,10483260,Soccer AM
Sports,US,"Jan 30th, 2015",$2.3K - $36.9K,$27.7K - $443.2K,B,70,43884,1132439,320,221054793,48,9233850,Seth's Bike Hacks
Sports,US,"May 20th, 2007",$2.5K - $39.9K,$29.9K - $478.6K,B,23,31535,453057,3347,134004189,39,9970320,SB Nation
Sports,RU,"May 17th, 2012",$2.3K - $37.4K,$28K - $448.3K,B,20,36502,622830,721,209484913,22,9340380,Titans Volleyball
Sports,US,"Jan 8th, 2015",$2.5K - $40.7K,$30.5K - $487.8K,B,71,45387,977979,1000,260210333,9,10163430,MMG
Sports,DZ,"Feb 13th, 2015",$3K - $48.3K,$36.2K - $580K,B,-39,19410,514985,80,206802315,-26,12082890,Real Madrid Albania
Sports,EG,"Oct 23rd, 2018",$4K - $64.5K,$48.4K - $774.1K,B,,0,9566,204,38838516,10,16127610,Egyptian Football
Sports,IN,"Jan 2nd, 2014",$2.3K - $36.8K,$27.6K - $441.8K,B,-1,10397,137931,77,60047696,156,9204930,MuscleBlaze
Sports,KR,"Apr 9th, 2014",$1.9K - $30.6K,$22.9K - $366.8K,B,752,27904,206771,6364,86089665,133,7641840,KFATV (Korea Football Association)
Sports,AR,"Apr 5th, 2006",$2.3K - $37K,$27.7K - $443.4K,B,24,21400,558609,118645,405210605,17,9237840,Youtube C5N
Sports,GB,"Nov 8th, 2015",$1.9K - $29.9K,$22.4K - $358.5K,B,-3,26779,765489,69,160197320,43,7468080,Wrsh98
Sports,US,"Apr 25th, 2011",$2K - $32.7K,$24.6K - $392.9K,B,279,37189,112922,904,33487260,177,8186130,Watersafe SwimSchool
Sports,US,"Sep 20th, 2015",$2.7K - $43K,$32.3K - $516.6K,B,-8,36161,1747068,647,427830411,-4,10762440,Muscle Madness
Sports,US,"Mar 8th, 2008",$2.4K - $38.9K,$29.2K - $466.7K,B,84,45448,1332305,388,358287456,46,9722070,BlacktipH
Sports,ID,"Feb 25th, 2016",$3.5K - $56.6K,$42.5K - $679.7K,B,-10,100810,711944,337,191537521,-5,14160780,Starting Eleven
Sports,ID,"Aug 10th, 2017",$2.4K - $38.7K,$29K - $463.9K,B,64,54179,291180,238,59218872,34,9664740,CERITA BOLA
Sports,JP,"Mar 24th, 2011",$5 - $85,$63 - $1K,C+,100,-1,4195,425,12588863,27,21150,MLBJapan11
Sports,,"Jan 5th, 2017",$1.3K - $20K,$15K - $240.5K,B,-31,-523,40473,30,9329205,-1,5010480,Random TV
Sports,BR,"Jan 4th, 2012",$2.4K - $38.5K,$28.9K - $462.4K,B,8,75517,198572,1141,28469689,42,9634080,FOX Sports Brasil
Sports,,"Dec 16th, 2016",$2.7K - $42.5K,$31.9K - $510.5K,B,25,25603,294433,284,91549169,26,10634910,석꾸축꾸
Sports,VN,"Jun 6th, 2016",$2.7K - $44K,$33K - $527.7K,B,-8,44051,372379,624,91200612,-5,10992930,Ghiền Bóng Đá TV
Sports,JP,"Nov 10th, 2011",$3K - $47.5K,$35.6K - $570.2K,B,-28,975,75623,2446,232314648,-40,11879730,Panasonic Japan（パナソニック公式）
Sports,US,"Jan 14th, 2013",$2.2K - $35.7K,$26.8K - $428.8K,B,-5,16687,415656,16047,170847406,0,8934000,Telemundo Deportes
Sports,US,"May 26th, 2009",$2.8K - $44.9K,$33.7K - $539.1K,B,141,26803,765140,1627,308241829,82,11231910,TPS
Sports,,"Feb 3rd, 2016",$1.5K - $24.1K,$18.1K - $289.4K,B,858,57606,77869,210,7947966,1,6028380,IQ-PRO TV
Sports,JP,"May 24th, 2015",$1.3K - $20.3K,$15.2K - $243.6K,B,-37,5886,238586,421,222624540,30,5074410,FM24/7 HD
Sports,US,"Dec 14th, 2015",$2.7K - $43.8K,$32.8K - $525.1K,B,4,32859,636105,1657,235217937,44,10940400,NBA on TNT
Sports,ID,"Jun 21st, 2017",$2.7K - $43.1K,$32.4K - $517.6K,B,3,19313,121495,115,12299241,1,10783650,BRBALL TV
Sports,EG,"Jul 27th, 2014",$0 - $0,$0 - $0,B,21,84193,1617445,134,218285369,-159,-4876590,انا اعشق كرة القدم
Sports,US,"Nov 18th, 2014",$802 - $12.8K,$9.6K - $154K,B,1,25395,378978,44,88920352,-51,3208260,NBA Funny
Sports,VN,"Feb 7th, 2017",$400 - $6.4K,$4.8K - $76.9K,B,-45,33755,163247,208,39989740,-91,1601610,RỒNG BÓNG ĐÁ
Sports,MX,"Feb 12th, 2009",$2.8K - $45K,$33.8K - $540.4K,B,19,33761,728776,2567,232356860,43,11258550,Lucha Libre AAA
Sports,US,"Mar 3rd, 2014",$3.2K - $51.2K,$38.4K - $614.2K,B,-26,29963,1193025,860,325215532,-19,12795000,YoBoy PIZZA
Sports,US,"Jul 12th, 2016",$2.9K - $47.2K,$35.4K - $566.1K,B,61,51766,612045,242,115274430,47,11793960,Abdullah- 20
Sports,FR,"Mar 24th, 2007",$2.9K - $47K,$35.3K - $564.1K,B,11,42268,2527956,418,442445487,-10,11753040,Wass Freestyle
Sports,US,"Jan 18th, 2007",$3.9K - $61.8K,$46.3K - $741K,B,-64,814,20863,216,82121277,-61,15437940,Nationwide
Sports,DE,"Mar 2nd, 2012",$2K - $31.9K,$23.9K - $382.3K,B+,20,99276,1643980,189,133779772,40,7964820,Calisthenicmovement
Sports,US,"Feb 5th, 2011",$2.6K - $42.2K,$31.6K - $506.2K,B+,102,12305,1329237,5485,979993417,48,10545030,The Fumble
Sports,GB,"Jan 19th, 2016",$1.7K - $26.8K,$20.1K - $321K,B+,275,15821,34824,126,15199521,45,6688050,Reemus Boxing
Sports,,"Feb 29th, 2016",$1.8K - $28.9K,$21.6K - $346.4K,B+,-5,23656,122674,5,7957409,480,7216230,FUNNY WORLD
Sports,VN,"Jul 21st, 2016",$3.6K - $56.9K,$42.7K - $682.5K,B+,-35,44263,689006,1282,226894675,-16,14219400,BongDa.com.vn
Sports,AT,"Oct 30th, 2008",$3.1K - $49.7K,$37.3K - $596.1K,B+,14,83738,2044744,236,261956139,18,12418410,Fabio Wibmer
Sports,VN,"Mar 23rd, 2016",$2.6K - $41.2K,$30.9K - $494.9K,B+,,0,0,6819,103298728,-18,10309710,Tin Bóng Đá 24h
Sports,SG,"Nov 29th, 2013",$2K - $31.3K,$23.5K - $375.9K,B+,,0,186065,535,19270120,-139,7830690,Badmintalk
Sports,GB,"Aug 4th, 2006",$1.8K - $28.8K,$21.6K - $346K,B+,-33,12381,211145,6955,198735325,-51,7207590,SecondsOut
Sports,,"Mar 23rd, 2007",$2.9K - $46.4K,$34.8K - $557.2K,B+,46,51476,783647,486,144882737,68,11607540,OlaBMX
Sports,SA,"Dec 27th, 2016",$3.2K - $51.4K,$38.6K - $617.3K,B+,37,96553,2301893,447,225363362,21,12861180,هل تعلم؟ الرياضية
Sports,US,"Aug 29th, 2015",$2.7K - $43K,$32.2K - $515.5K,B+,-25,25927,722404,120,313512882,-23,10738830,RedConectate
Sports,US,"Aug 30th, 2011",$1.8K - $28.5K,$21.4K - $342K,B+,29,5895,306866,2548,138450502,-227,7124730,Boxing Hall of Fame Las Vegas
Sports,US,"Aug 29th, 2015",$3.4K - $54.1K,$40.6K - $649.5K,B+,4,21832,612979,4084,359545700,8,13531590,The Herd with Colin Cowherd
Sports,EG,"Mar 19th, 2017",$2.8K - $45.4K,$34K - $544.3K,B+,-8,42823,906012,53,25575702,-6,11339490,كورة بلس ❶
Sports,BR,"Aug 22nd, 2015",$1.7K - $26.7K,$20K - $320.5K,B+,162,23173,147207,226,26486258,345,6676260,GP7HD
Sports,GB,"Jun 24th, 2014",$3K - $48.2K,$36.1K - $578.3K,B+,-36,37352,1223486,177,345737340,-32,12048390,Boxing Legends TV
Sports,VN,"Nov 12th, 2011",$2.2K - $35.3K,$26.5K - $423.5K,B+,-58,56347,365830,152,40959715,-23,8823540,FLAHO
Sports,US,"Sep 25th, 2013",$2.5K - $39.7K,$29.8K - $476.6K,B+,106,14943,500910,7834,519797518,-36,9928800,TMZSports
Sports,DE,"Feb 21st, 2013",$1.9K - $30.2K,$22.7K - $362.6K,B+,305,6093,177717,181,27481682,2,7555080,Freeletics
Sports,BR,"Oct 13th, 2014",$3.5K - $55.4K,$41.5K - $664.2K,B+,-17,81749,1754119,234,185306258,-7,13838130,Futebol 24 Horas
Sports,FR,"May 30th, 2009",$2.2K - $35.5K,$26.6K - $425.6K,B+,0,19614,1161684,12049,360280653,3,8867280,Ligue 1 Conforama
Sports,,"Nov 18th, 2015",$0 - $0,$0 - $0,B+,9,38040,2031681,324,832540937,-140,-6586590,Dan1s
Sports,IN,"Jul 23rd, 2015",$2.3K - $37.4K,$28.1K - $449.2K,B+,58,25540,83325,2012,26859148,93,9357720,ChessBase India
Sports,IN,"May 23rd, 2011",$4.6K - $74.2K,$55.7K - $890.9K,B+,283,66985,284499,6828,95209557,343,18559800,Xtra Time
Sports,US,"May 11th, 2015",$1.3K - $20.8K,$15.6K - $249.7K,B+,322,94420,259345,58,22197272,310,5201070,Wow! Delicious Food
Sports,,"Dec 13th, 2008",$3.4K - $53.7K,$40.2K - $643.8K,B+,158,39924,197547,11,85968169,144,13412910,Sam Delir
Sports,SN,"Jul 8th, 2008",$2.4K - $39K,$29.3K - $468.3K,B+,78,29324,195734,1227,70355075,56,9756450,Luttetv.com
Sports,GB,"Aug 3rd, 2012",$3.4K - $54.2K,$40.6K - $650.2K,B+,53,119716,1669742,1589,386539696,59,13545960,ICC
Sports,US,"Feb 17th, 2014",$3.5K - $56.1K,$42.1K - $673.1K,B+,22,103134,921856,304,130730216,28,14022750,Paul Cuffaro
Sports,,"Jun 30th, 2016",$2.8K - $45.4K,$34.1K - $545.3K,B+,68,35764,1111086,724,222003840,37,11360790,Cracks MX
Sports,US,"May 4th, 2015",$1.2K - $19.5K,$14.6K - $233.9K,D-,109,18163,466908,76,109422546,-145,4873290,Sir Alex
Sports,US,"Nov 23rd, 2007",$2.6K - $41.9K,$31.5K - $503.3K,B+,25,34045,641820,168,137270371,63,10485600,JxmyHighroller
Sports,VN,"Oct 14th, 2016",$3K - $48.1K,$36.1K - $577.5K,B+,13,20187,152430,6377,87290191,56,12030960,Tin hot 24h
Sports,MA,"Apr 15th, 2015",$2.3K - $36.8K,$27.6K - $441.8K,B+,466,49061,291972,790,80906305,322,9204120,YASSIN WORKOUT
Sports,,"Sep 9th, 2015",$3.6K - $57.4K,$43.1K - $689.3K,B+,89,48772,606666,368,224440483,88,14360040,CricketCloud
Sports,US,"Mar 3rd, 2006",$2.8K - $44.8K,$33.6K - $537.1K,B+,248,4153,200171,588,125094204,326,11190450,Under Armour
Sports,DE,"Feb 9th, 2010",$2.3K - $36.8K,$27.6K - $441.3K,B+,951,22988,80266,261,39272312,691,9192870,Andre Video Frischmann
Sports,GB,"Oct 16th, 2012",$5.1K - $81.1K,$60.8K - $972.8K,B+,56,84226,532753,132,176180064,35,20265630,EnduroLife.com
Sports,,"Nov 29th, 2013",$3.8K - $60.9K,$45.7K - $730.4K,B+,114,103146,839245,2758,117072990,157,15217200,Cricbuzz
Sports,BR,"Jul 18th, 2015",$5.8K - $93.4K,$70.1K - $1.1M,B+,-19,61350,1931742,262,565957134,-14,23360520,SportsHD
Sports,GB,"Jan 2nd, 2013",$4.1K - $65K,$48.7K - $779.9K,B+,-37,49013,1252629,3381,447164064,-50,16248360,BT Sport
Sports,GB,"Dec 19th, 2017",$4.5K - $71.8K,$53.9K - $862.2K,B+,108,139441,1411430,695,116963429,52,17961870,Manchester United
Sports,CA,"Mar 24th, 2010",$3.7K - $58.6K,$44K - $703.5K,B+,-14,11268,247137,17167,450165355,-8,14657220,SPORTSNET
Sports,VN,"Dec 11th, 2016",$3.5K - $56.8K,$42.6K - $681.3K,B+,-24,23153,189941,14148,128675970,14,14193780,TIN HOT 24H THỂ THAO
Sports,GB,"Jul 6th, 2015",$4K - $64.7K,$48.6K - $776.9K,B+,-38,65150,644588,777,142789949,-38,16185270,Sky Sports Football
Sports,US,"Nov 11th, 2006",$3.4K - $54.4K,$40.8K - $652.6K,B+,67,16256,369841,77362,656687417,69,13596420,EsNews
Sports,AU,"Jan 1st, 2011",$3.4K - $53.7K,$40.3K - $644.8K,B+,77,50602,436760,386,194176994,83,13432890,Trevor Byers Cricket
Sports,MX,"Apr 18th, 2016",$4.5K - $72.1K,$54.1K - $865.1K,B+,-13,58544,1329312,154,476137359,21,18022530,Joga Sport
Sports,IN,"Sep 3rd, 2017",$4.5K - $71.4K,$53.5K - $856.4K,B+,392,103730,1299224,1055,138323285,205,17841840,Sports Edge
Sports,,"Sep 20th, 2013",$4.1K - $65.4K,$49K - $784.7K,B+,187,1821,10047,80,54517703,103,16347180,Tata Salt
Sports,US,"Jan 7th, 2009",$4.5K - $72.6K,$54.5K - $871.5K,B+,-11,41319,1248377,1953,525250498,-6,18156270,Beyond Wrestling
Sports,UA,"Aug 27th, 2017",$4.7K - $74.7K,$56K - $896.1K,B+,4,53200,928788,276,307189009,0,18669000,WWE Mania
Sports,US,"Feb 27th, 2006",$2.2K - $34.8K,$26.1K - $417.8K,B+,410,64871,220230,147,56541338,49,8704650,Boxing Now
Sports,US,"Mar 22nd, 2014",$4.3K - $69.3K,$52K - $831.4K,B+,49,51674,336490,111,106133518,86,17321730,MarshallTube
Sports,SA,"Feb 26th, 2013",$4K - $64.2K,$48.1K - $770.3K,B+,16,51233,956343,6725,360705090,27,16047300,دوري بلس
Sports,JP,"Jul 14th, 2011",$4.3K - $68.2K,$51.1K - $818.1K,B+,52,26241,1141308,1598,647763897,8,17043840,釣りよかでしょう。
Sports,GB,"Jun 4th, 2008",$4.7K - $76K,$57K - $911.8K,B+,37,85830,1784351,5132,450316914,20,18996780,England & Wales Cricket Board
Sports,TZ,"Sep 22nd, 2012",$4.5K - $72.8K,$54.6K - $873.3K,B+,17,67383,1626095,14889,581178575,16,18192750,Millard Ayo
Sports,VN,"Apr 23rd, 2013",$6.5K - $104.3K,$78.2K - $1.3M,B+,67,76935,619537,399,222314359,63,26070420,Dân Thể Hình
Sports,IN,"Feb 13th, 2017",$2.2K - $35.3K,$26.4K - $423.1K,B+,-28,65820,381330,90,20757458,-164,8814150,Cric7
Sports,US,"Aug 18th, 2014",$6K - $95.3K,$71.5K - $1.1M,B+,19,27003,513149,704,317917386,20,23834640,Highlight Heaven
Sports,US,"Feb 17th, 2012",$3.6K - $58.2K,$43.7K - $699K,B+,76,33257,657951,1617,268002221,109,14561850,Nick's Strength and Power
Sports,US,"Oct 28th, 2015",$4.7K - $75K,$56.3K - $900.3K,B+,48,37464,574218,1089,258253060,55,18755460,NFL Films
Sports,MX,"Dec 19th, 2006",$3.6K - $58.4K,$43.8K - $700.7K,B+,-52,36927,1300464,9495,418391521,-41,14597940,Televisa Deportes
Sports,US,"May 23rd, 2007",$3.4K - $54.5K,$40.9K - $654K,B+,39,20472,419752,18657,511467900,9,13625250,FightHype.com
Sports,US,"Mar 23rd, 2016",$2.8K - $45.3K,$33.9K - $543.1K,B+,10,4600,19144,1477,14847598,61,11314740,P O Rules 2 TV
Sports,IN,"Dec 11th, 2006",$4.4K - $69.9K,$52.4K - $839.2K,B+,0,58006,1901668,8838,491570855,27,17482890,Star Sports
Sports,US,"Oct 4th, 2015",$4.4K - $69.8K,$52.3K - $837K,B+,-27,39830,483086,517,229330602,-28,17437740,Unlimited TV
Sports,AU,"Sep 9th, 2009",$5.9K - $94.6K,$71K - $1.1M,B+,0,166398,4288670,217,604417318,9,23660370,How Ridiculous
Sports,ID,"Jan 13th, 2015",$5.6K - $89.2K,$66.9K - $1.1M,B+,15,116219,307622,1321,45770283,70,22289370,beIN SPORTS Indonesia
Sports,SG,"Jun 3rd, 2011",$4.8K - $76.3K,$57.2K - $915.2K,B+,,0,0,1585,206227128,15,19066740,ONE Championship
Sports,PH,"Feb 9th, 2015",$3.3K - $53K,$39.7K - $635.4K,B+,-34,35416,1348293,13870,560980365,-21,13237650,ESPN5
Sports,ES,"Nov 1st, 2010",$4.5K - $71.8K,$53.9K - $862.1K,B+,80,136553,5922840,756,818744230,53,17959770,gymvirtual
Sports,US,"Aug 3rd, 2016",$3.1K - $49K,$36.7K - $587.5K,B+,,0,1440911,69,131180006,-216,12239310,Sports Blast
Sports,IN,"Apr 17th, 2013",$4.5K - $72K,$54K - $863.9K,B+,-14,60001,786740,1319,181916482,12,17998710,Kabaddi365.com
Sports,GB,"Oct 8th, 2010",$4.3K - $68.6K,$51.4K - $822.9K,B+,30,25125,471845,448,379741060,32,17144370,editinking
Sports,IN,"Mar 21st, 2016",$3.3K - $52.6K,$39.4K - $630.8K,B+,401,91498,823885,64,46710611,412,13141680,ALL IN 1
Sports,US,"Mar 3rd, 2014",$5.3K - $84.2K,$63.2K - $1M,B+,11,48992,955942,675,448190785,32,21059850,BrothersOfDestruction22
Sports,US,"May 16th, 2015",$6.2K - $98.7K,$74K - $1.2M,B+,13,65919,396877,87,123180722,19,24671580,MCEW
Sports,US,"Jul 20th, 2012",$5.1K - $80.8K,$60.6K - $970.1K,B+,101,44488,256659,525,119969275,128,20210730,BBallBeast
Sports,US,"Feb 20th, 2016",$4.3K - $68.6K,$51.5K - $823.4K,B+,28,49195,973900,81,142168413,55,17154720,Emma's Fishing
Sports,LK,"Oct 26th, 2012",$5.2K - $83K,$62.3K - $996.4K,B+,49,88987,882657,1023,188794834,66,20757360,Sri Lanka Cricket
Sports,IQ,"Dec 15th, 2014",$3.8K - $61.2K,$45.9K - $734.6K,B+,,0,0,8503,64726081,333,15303150,omar abdalkareem2 عمرالعبوسي
Sports,US,"Jan 6th, 2007",$4.7K - $75.1K,$56.3K - $900.8K,B+,31,79028,3852577,1701,1049464401,40,18767430,hickok45
Sports,US,"Mar 24th, 2012",$14K - $224.7K,$168.5K - $2.7M,B+,,218025,218099,46,57968414,-186,56181900,تريكسر TRIXER l
Sports,GB,"Oct 22nd, 2012",$5.6K - $89.7K,$67.3K - $1.1M,B+,68,30019,907798,10046,564092396,46,22433610,AFTV
Sports,US,"Jan 3rd, 2011",$5.5K - $88.1K,$66.1K - $1.1M,B+,69,152007,6426523,334,895168952,21,22031760,DemolitionRanch
Sports,AT,"Sep 23rd, 2006",$7.1K - $114.1K,$85.6K - $1.4M,B+,-14,84439,8140714,6648,2138040677,-13,28518030,Red Bull
Sports,US,"Jun 24th, 2011",$6.3K - $100.1K,$75.1K - $1.2M,B+,-15,55628,1415437,2337,655070435,-12,25022910,STRELKA Уличные Бои / STRELKA…
Sports,AU,"Sep 14th, 2010",$4.3K - $68.5K,$51.4K - $822.5K,B+,1,95681,193762,759,50329019,954,17136090,AFC Asian Cup
Sports,,"Aug 17th, 2016",$6.9K - $110.6K,$82.9K - $1.3M,B+,48,44365,1107374,2506,668304060,32,27643770,Skip and Shannon: UNDISPUTED
Sports,,"Jun 8th, 2014",$4.8K - $76.2K,$57.1K - $914.2K,B+,197,59545,889309,395,299969217,104,19045230,Shoot for Love 슛포러브
Sports,ID,"May 18th, 2016",$5.2K - $83.2K,$62.4K - $998.7K,B+,262,56541,365988,841,165424397,200,20806590,FGD Football
Sports,GE,"Sep 1st, 2013",$0 - $0,$0 - $0,B+,-22,93113,1145387,62,133343232,-95,-2032710,GugaTV
Sports,IN,"Mar 10th, 2015",$5.7K - $91.2K,$68.4K - $1.1M,B+,13,92195,1146328,4153,283858291,23,22794210,FLAME MEDIA
Sports,DE,"Dec 30th, 2006",$5.7K - $90.6K,$67.9K - $1.1M,B+,105,82095,571689,342,129699098,84,22638390,urbanamadei
Sports,US,"Aug 15th, 2015",$4.9K - $79K,$59.2K - $948K,B+,441,208110,669111,178,94677745,312,19749180,Houston Jones
Sports,MX,"Aug 24th, 2013",$5.1K - $80.9K,$60.6K - $970.3K,B+,-19,38181,501331,2614,108529528,-12,20215500,Estadio Videos
Sports,CA,"Sep 16th, 2010",$6.3K - $100.5K,$75.4K - $1.2M,B+,-23,98343,1245193,334,276513142,4,25135350,Nick Pro
Sports,GB,"May 5th, 2006",$6.6K - $105.2K,$78.9K - $1.3M,B+,517,118578,219140,157,41661047,721,26287680,LOR KIDS
Sports,US,"Feb 23rd, 2006",$6.8K - $108.9K,$81.7K - $1.3M,B+,8,61654,2100827,13810,1511333271,13,27222960,IMPACT Wrestling
Sports,NL,"Jun 20th, 2007",$6.9K - $110K,$82.5K - $1.3M,B+,-15,122777,4724130,261,1211023369,-10,27509640,Saskia's Dansschool
Sports,RU,"Nov 29th, 2014",$7K - $112.6K,$84.4K - $1.4M,B+,78,97956,1960605,426,462185634,67,28138230,True Gym MMA
Sports,ID,"Jan 30th, 2008",$5.3K - $84.7K,$63.6K - $1M,B+,3,6604,26751,615,72931125,45,21185940,L-Men Official
Sports,BR,"Jun 12th, 2013",$7.2K - $115.2K,$86.4K - $1.4M,B+,-22,60835,6949427,1913,1422013944,8,28808460,Desimpedidos
Sports,US,"Mar 11th, 2009",$7.4K - $118.3K,$88.7K - $1.4M,B+,49,108526,6596722,2027,1954263986,24,29582850,GoPro
Sports,US,"Jul 2nd, 2017",$7.3K - $117.5K,$88.1K - $1.4M,B+,-73,47019,2024777,5585,1207909442,-67,29369460,MLG Highlights
Sports,US,"Mar 20th, 2006",$7.8K - $124.2K,$93.1K - $1.5M,B+,22,29841,4431450,5570,2465132566,10,31048200,Chris Smoove
Sports,US,"Nov 6th, 2005",$4.7K - $75.7K,$56.7K - $908K,B+,-31,3828,23355,49,25843743,28,18916350,Reeses
Sports,US,"Mar 4th, 2006",$7.4K - $119.1K,$89.3K - $1.4M,B+,20,124737,5934871,7570,1835994988,-15,29776590,UFC - Ultimate Fighting Championship
Sports,US,"Sep 9th, 2009",$5.2K - $82.8K,$62.1K - $993.5K,B+,107,37455,531434,9646,441989630,84,20698050,Fight Hub TV
Sports,SE,"Jan 25th, 2016",$0 - $0,$0 - $0,B+,6,72036,1127455,91,285127565,-651,-158265000,JackieMT 2nd
Sports,IT,"Oct 30th, 2012",$11.6K - $185.5K,$139.1K - $2.2M,B+,19,205254,2036879,17205,475702359,4,46375800,Serie A
Sports,GB,"Feb 3rd, 2015",$0 - $0,$0 - $0,B+,20,89707,3276113,315,795870042,-662,-164713800,Wrzzer
Sports,GB,"Apr 9th, 2011",$9.4K - $150.2K,$112.7K - $1.8M,B+,22,168743,9493122,584,1738576403,14,37554000,F2Freestylers - Ultimate Soccer Skills…
Sports,GB,"Jan 10th, 2006",$8.2K - $130.9K,$98.2K - $1.6M,B+,19,68700,3182766,7469,1567527288,12,32725500,Olympic
Sports,US,"Sep 6th, 2007",$3.2K - $52K,$39K - $623.7K,B+,101,48918,675653,2911,321369813,55,12994530,SHOWTIME Sports
Sports,US,"Jul 1st, 2006",$9.9K - $158.7K,$119K - $1.9M,B+,152,3906,170120,296,167231337,-238,39683100,Gatorade
Sports,US,"Jul 11th, 2013",$11.5K - $184.2K,$138.2K - $2.2M,B+,-39,122192,963354,550,295602405,-26,46055100,Fitwork Nation
Sports,TH,"Jan 13th, 2012",$9.6K - $154.3K,$115.7K - $1.9M,B+,20,106319,1632855,26069,903597633,26,38579100,matichon tv
Sports,US,"Jan 13th, 2015",$10.5K - $168.2K,$126.2K - $2M,B+,37,53730,922900,13433,848796495,39,42053100,FreeDawkins
Sports,AU,"Dec 5th, 2007",$5.2K - $83.6K,$62.7K - $1M,B+,4,49006,316397,6271,203120379,1,20893290,Australian Open TV
Sports,GB,"Jul 27th, 2013",$8.5K - $136.1K,$102.1K - $1.6M,B+,46,42329,2283298,981,1386234276,30,34021800,442oons
Sports,FR,"Aug 15th, 2008",$10.9K - $174.3K,$130.7K - $2.1M,B+,33,118443,5657058,592,1408227124,10,43570500,Tibo InShape
Sports,,"Nov 18th, 2014",$10.8K - $173.2K,$129.9K - $2.1M,B+,83,212434,1301378,8265,255390767,86,43305000,El Djazairia One
